30 20
#############
#.k.........#    ########
#...s...s...######......#
#..............d........#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #.......#      #......#
  #.......#      #......#
  #.+.....#      #......#
  #.......#      #......#
  #.......#      #......#
  #...@...#      #......#
  #########       ######
